ID	run_id	guid
01-A3	20211229	G20211229_01-A3
01-A4	20211229	G20211229_01-A4
01-A5	20211229	G20211229_01-A5
01-A6	20211229	G20211229_01-A6
01-A7	20211229	G20211229_01-A7
01-A8	20211229	G20211229_01-A8
01-A9	20211229	G20211229_01-A9
01-A10	20211229	G20211229_01-A10
01-A11	20211229	G20211229_01-A11
01-A12	20211229	G20211229_01-A12
01-B2	20211229	G20211229_01-B2
01-B3	20211229	G20211229_01-B3
01-B4	20211229	G20211229_01-B4
01-B6	20211229	G20211229_01-B6
01-B7	20211229	G20211229_01-B7
01-B8	20211229	G20211229_01-B8
01-B9	20211229	G20211229_01-B9
01-B10	20211229	G20211229_01-B10
01-B11	20211229	G20211229_01-B11
01-B12	20211229	G20211229_01-B12
01-C3	20211229	G20211229_01-C3
01-C4	20211229	G20211229_01-C4
01-C5	20211229	G20211229_01-C5
01-C6	20211229	G20211229_01-C6
01-C7	20211229	G20211229_01-C7
01-C8	20211229	G20211229_01-C8
01-C9	20211229	G20211229_01-C9
01-C10	20211229	G20211229_01-C10
01-C11	20211229	G20211229_01-C11
01-C12	20211229	G20211229_01-C12
01-D1	20211229	G20211229_01-D1
01-D2	20211229	G20211229_01-D2
01-D3	20211229	G20211229_01-D3
01-D4	20211229	G20211229_01-D4
01-D5	20211229	G20211229_01-D5
01-D6	20211229	G20211229_01-D6
01-D7	20211229	G20211229_01-D7
01-D8	20211229	G20211229_01-D8
01-D9	20211229	G20211229_01-D9
01-D10	20211229	G20211229_01-D10
01-D11	20211229	G20211229_01-D11
01-D12	20211229	G20211229_01-D12
01-E1	20211229	G20211229_01-E1
01-E2	20211229	G20211229_01-E2
01-E3	20211229	G20211229_01-E3
01-E4	20211229	G20211229_01-E4
01-E5	20211229	G20211229_01-E5
01-E6	20211229	G20211229_01-E6
01-E7	20211229	G20211229_01-E7
01-E8	20211229	G20211229_01-E8
01-E9	20211229	G20211229_01-E9
01-E10	20211229	G20211229_01-E10
01-E11	20211229	G20211229_01-E11
01-F1	20211229	G20211229_01-F1
01-F2	20211229	G20211229_01-F2
01-F3	20211229	G20211229_01-F3
01-F4	20211229	G20211229_01-F4
01-F5	20211229	G20211229_01-F5
01-F6	20211229	G20211229_01-F6
01-F7	20211229	G20211229_01-F7
01-F8	20211229	G20211229_01-F8
01-F9	20211229	G20211229_01-F9
01-F10	20211229	G20211229_01-F10
01-F11	20211229	G20211229_01-F11
01-F12	20211229	G20211229_01-F12
01-G1	20211229	G20211229_01-G1
01-G2	20211229	G20211229_01-G2
01-G3	20211229	G20211229_01-G3
01-G4	20211229	G20211229_01-G4
01-G5	20211229	G20211229_01-G5
01-G6	20211229	G20211229_01-G6
01-G7	20211229	G20211229_01-G7
01-G8	20211229	G20211229_01-G8
01-G9	20211229	G20211229_01-G9
01-G10	20211229	G20211229_01-G10
01-G11	20211229	G20211229_01-G11
01-G12	20211229	G20211229_01-G12
01-H1	20211229	G20211229_01-H1
01-H2	20211229	G20211229_01-H2
01-H3	20211229	G20211229_01-H3
01-H4	20211229	G20211229_01-H4
01-H5	20211229	G20211229_01-H5
01-H7	20211229	G20211229_01-H7
01-H8	20211229	G20211229_01-H8
01-H9	20211229	G20211229_01-H9
01-H10	20211229	G20211229_01-H10
01-H11	20211229	G20211229_01-H11
01-H12	20211229	G20211229_01-H12
02-A2	20211229	G20211229_02-A2
02-A4	20211229	G20211229_02-A4
02-A5	20211229	G20211229_02-A5
02-A6	20211229	G20211229_02-A6
02-A7	20211229	G20211229_02-A7
02-A9	20211229	G20211229_02-A9
