,Round,In_Out,Plate,Sample,Vol,C_Dilution,C_Count,C_pfu/mL,C_pfu/well,C_log(pfu/mL),C_log(pfu/well),C_log(change),C_log(enrichment),K_Dilution,K_Count,K_pfu/mL,K_pfu/well,K_log(pfu/mL),K_log(pfu/well),K_log(enrichment),log(carb-kan/ml),log(carb-kan/well),kind,fraction,r,plate_n,sample_full
66,R1,out,2+,C7,0.2,-5.0,70.0,7000000000.0,1400000000.0,9.845098040014257,9.146128035678238,3.853871964321762,,-3.0,39.0,39000000.0,7800000.0,7.5910646070264995,6.892094602690481,,2.2540334329877574,2.2540334329877574,+,+,1,2,2.C7
67,R1,out,2+,C8,0.2,-5.0,61.0,6100000000.0,1220000000.0,9.785329835010767,9.086359830674748,3.9136401693252516,,-3.0,45.0,45000000.0,9000000.0,7.653212513775344,6.954242509439325,,2.132117321235423,2.132117321235423,+,+,1,2,2.C8
68,R1,out,2+,C9,0.2,-5.0,74.0,7400000000.0,1480000000.0,9.869231719730976,9.170261715394957,3.8297382846050425,,-3.0,63.0,63000000.0,12600000.0,7.799340549453582,7.1003705451175625,,2.069891170277394,2.069891170277395,+,+,1,2,2.C9
69,R1,out,2+,C10,0.2,-5.0,61.0,6100000000.0,1220000000.0,9.785329835010767,9.086359830674748,3.9136401693252516,,-3.0,49.0,49000000.0,9800000.0,7.690196080028514,6.991226075692495,,2.0951337549822533,2.0951337549822533,+,+,1,2,2.C10
70,R1,out,2+,C11,0.2,-5.0,73.0,7300000000.0,1460000000.0,9.863322860120457,9.164352855784436,3.8356471442155637,,-3.0,53.0,53000000.0,10600000.0,7.724275869600789,7.02530586526477,,2.1390469905196676,2.139046990519666,+,+,1,2,2.C11
71,R1,out,2+,C12,0.2,-5.0,78.0,7800000000.0,1560000000.0,9.89209460269048,9.193124598354462,3.806875401645538,,-3.0,78.0,78000000.0,15600000.0,7.892094602690481,7.193124598354461,,2.0,2.000000000000001,+,+,1,2,2.C12
72,R1,in,2+,input,0.2,-8.0,500.0,50000000000000.0,10000000000000.0,13.552913347730625,13.0,,,,,,,,,,,,+,i,1,2,2.input
73,R1,out,2+,E2,0.2,-5.0,54.0,5400000000.0,1080000000.0,9.732393759822969,9.03342375548695,3.9665762445130497,0.4771212547196626,,,,,,,,,,+,+,1,2,2.E2
74,R1,out,2+,E3,0.2,-5.0,45.0,4500000000.0,900000000.0,9.653212513775344,8.954242509439325,4.045757490560675,0.2730012720637376,,,,,,,,,,+,+,1,2,2.E3
75,R1,out,2+,E4,0.2,-5.0,49.0,4900000000.0,980000000.0,9.690196080028514,8.991226075692495,4.008773924307505,0.6488033948702885,,,,,,,,,,+,+,1,2,2.E4
76,R1,out,2+,E5,0.2,-5.0,78.0,7800000000.0,1560000000.0,9.89209460269048,9.193124598354462,3.806875401645538,0.8507019175322554,,,,,,,,,,+,+,1,2,2.E5
77,R1,out,2+,E6,0.2,-5.0,78.0,7800000000.0,1560000000.0,9.89209460269048,9.193124598354462,3.806875401645538,0.8507019175322554,,,,,,,,,,+,+,1,2,2.E6
78,R1,out,2+,E7,0.2,-6.0,57.0,57000000000.0,11400000000.0,10.755874855672491,10.056904851336473,2.9430951486635273,,,,,,,,,,,+,+,1,2,2.E7
79,R1,out,2+,E8,0.2,-5.0,40.0,4000000000.0,800000000.0,9.602059991327963,8.903089986991944,4.096910013008056,,,,,,,,,,,+,+,1,2,2.E8
