,Date,Phase,Well,Volume,C_Dilution,C_Count,C_pfu/mL,C_pfu/well,C_log(pfu/mL),C_log(pfu/well),C_log(enrichment),K_Dilution,K_Count,K_pfu/mL,K_pfu/well,K_log(pfu/mL),K_log(pfu/well),K_log(enrichment),log(carb-kan/ml),log(carb-kan/well),log(enrichment),io,kind,fraction,r,selection,selection_name,library
85,2020-11-04,R3o,8-,1.8,-2,40.970058,4506706.38,8112071.484,6.653859263928602,6.909131769031909,,,,,,,,,,,,o,-,-,3,8,Pa mix scrape,alpaca
110,2020-11-06,R4i,1,1.8,-8,60.713783,6678516130000.0,12021329034000.0,12.824679979221083,13.079952484324389,,,,,,,,,,,,i,?,i,4,1,PAK flagellin,alpaca
111,2020-11-06,R4i,2,1.8,-8,111.355835,12249141850000.0,22048455330000.0,13.088105663976936,13.343378169080243,,,,,,,,,,,,i,?,i,4,2,PAO1 flagellin,alpaca
112,2020-11-06,R4i,3,1.8,-8,92.954926,10225041860000.0,18405075348000.0,13.009665094628504,13.26493759973181,,,,,,,,,,,,i,?,i,4,3,PA103 pilin,alpaca
113,2020-11-06,R4o,1-,1.8,-3,52.601551,57861706.1,104151070.98,7.7623912350307975,8.017663740134104,,,,,,,,,,,,o,-,-,4,1,PAK flagellin,alpaca
114,2020-11-06,R4o,2-,1.8,-3,44.148651,48563516.1,87414328.98,7.686310123033154,7.94158262813646,,,,,,,,,,,,o,-,-,4,2,PAO1 flagellin,alpaca
115,2020-11-06,R4o,3-,1.8,-4,36.40881,400496910.0,720894438.0,8.602599169670878,8.857871674774184,,,,,,,,,,,,o,-,-,4,3,PA103 pilin,alpaca
116,2020-11-06,R4o,1+,1.8,-4,65.081833,715900163.0,1288620293.4,8.854852461300348,9.110124966403655,,,,,,,,,,,1.0924612262695508,o,+,+,4,1,PAK flagellin,alpaca
117,2020-11-06,R4o,2+,1.8,-4,18.097567,199073237.00000003,358331826.6000001,8.299012878287218,8.554285383390525,,,,,,,,,,,0.6127027552540643,o,+,+,4,2,PAO1 flagellin,alpaca
118,2020-11-06,R4o,3+,1.8,-3,22.056749,24262423.9,43672363.019999996,7.38493418621767,7.640206691320976,,,,,,,,,,,-1.2176649834532078,o,+,+,4,3,PA103 pilin,alpaca
119,2020-11-06,R4o,1?,1.8,-4,72.098373,793082103.0,1427547785.4,8.8993181495296,9.154590654632907,,,,,,,,,,,,o,?,?,4,1,PAK flagellin,alpaca
120,2020-11-06,R4o,2?,1.8,-4,20.251787,222769657.0,400985382.6,8.347856036165586,8.603128541268893,,,,,,,,,,,,o,?,?,4,2,PAO1 flagellin,alpaca
121,2020-11-06,R4o,3?,1.8,-4,43.828957,482118527.0,867813348.6,8.683153821006474,8.93842632610978,,,,,,,,,,,,o,?,?,4,3,PA103 pilin,alpaca
122,2020-11-06,R4i,4,1.8,-8,79.851288,8783641680000.0,15810555024000.0,12.94367461085228,13.198947115955587,,,,,,,,,,,,i,?,i,4,4,PAK pilin,alpaca
123,2020-11-06,R4i,5,1.8,-8,97.074211,10678163210000.0,19220693778000.0,13.028496554530946,13.283769059634253,,,,,,,,,,,,i,?,i,4,5,PAO1 Pel/Psl,alpaca
124,2020-11-06,R4i,6,1.8,-8,115.74295,12731724500000.0,22917104100000.0,13.104887232413285,13.360159737516591,,,,,,,,,,,,i,?,i,4,6,PAO1 efflux pumps,alpaca
125,2020-11-06,R4o,4-,1.8,-2,63.036469,6934011.59,12481220.862,6.840984563231661,7.0962570683349675,,,,,,,,,,,,o,-,-,4,4,PAK pilin,alpaca
126,2020-11-06,R4o,5-,1.8,-4,48.881886,537700746.0,967861342.8000001,8.730540639012844,8.985813144116149,,,,,,,,,,,,o,-,-,4,5,PAO1 Pel/Psl,alpaca
127,2020-11-06,R4o,6-,1.8,-4,29.556988,325126868.0,585228362.4,8.51205286042811,8.767325365531416,,,,,,,,,,,,o,-,-,4,6,PAO1 efflux pumps,alpaca
128,2020-11-06,R4o,4+,1.8,-4,46.056957,506626526.99999994,911927748.5999999,8.704687925738991,8.959960430842298,,,,,,,,,,,1.86370336250733,o,+,+,4,4,PAK pilin,alpaca
129,2020-11-06,R4o,5+,1.8,-4,65.630508,721935588.0000001,1299484058.4000003,8.85849845099892,9.113770956102227,,,,,,,,,,,0.12795781198607692,o,+,+,4,5,PAO1 Pel/Psl,alpaca
130,2020-11-06,R4o,6+,1.8,-5,38.362514,4219876539.9999995,7595777771.999999,9.625299745089382,9.880572250192687,,,,,,,,,,,1.1132468846612724,o,+,+,4,6,PAO1 efflux pumps,alpaca
